tinh_id,district_num,id_district,Province,Region,goodroadv,agrext,tapwater,lnarea,lnpopden,city,treatment,year
1,15,105d15,Ha Noi,Red River Delta,1,0,0,0.6931471824645996,6.4297194480896,0,0,2006
1,15,105d15,Ha Noi,Red River Delta,0,0,0,1.342864751815796,5.65838098526001,0,0,2006
1,17,105d17,Ha Noi,Red River Delta,1,0,0,2.5416018962860107,4.972652912139893,0,0,2006
1,17,105d17,Ha Noi,Red River Delta,1,0,0,2.478217601776123,5.632510185241699,0,0,2006
1,17,105d17,Ha Noi,Red River Delta,1,0,0,1.50629723072052,5.926186561584473,0,0,2006
1,17,105d17,Ha Noi,Red River Delta,1,0,0,1.495148777961731,5.775859832763672,0,0,2006
1,17,105d17,Ha Noi,Red River Delta,1,0,0,2.0014801025390625,5.988419532775879,0,0,2006
1,17,105d17,Ha Noi,Red River Delta,1,0,0,1.9699056148529053,5.87001371383667,0,0,2006
1,19,105d19,Ha Noi,Red River Delta,1,0,0,1.2725656032562256,5.898323059082031,0,0,2006
1,19,105d19,Ha Noi,Red River Delta,1,0,0,1.6311994791030884,6.001201629638672,0,0,2006
1,19,105d19,Ha Noi,Red River Delta,1,0,0,1.5706970691680908,6.617991924285889,0,0,2006
1,19,105d19,Ha Noi,Red River Delta,1,0,0,1.7029281854629517,5.973545551300049,0,0,2006
1,19,105d19,Ha Noi,Red River Delta,1,0,0,2.360854148864746,5.545693397521973,0,0,2006
1,21,105d21,Ha Noi,Red River Delta,1,0,0,0.8796268105506897,6.328233242034912,0,0,2006
1,21,105d21,Ha Noi,Red River Delta,1,0,1,1.8066481351852417,5.6246514320373535,0,0,2006
1,21,105d21,Ha Noi,Red River Delta,1,0,0,1.355835199356079,6.3431010246276855,0,0,2006
1,21,105d21,Ha Noi,Red River Delta,1,0,0,1.7833912372589111,5.7149248123168945,0,0,2006
1,21,105d21,Ha Noi,Red River Delta,1,0,0,1.08856201171875,6.402525424957275,0,0,2006
1,21,105d21,Ha Noi,Red River Delta,1,0,0,1.686398983001709,5.912501335144043,0,0,2006
1,23,105d23,Ha Noi,Red River Delta,1,1,0,2.2407095432281494,5.226661682128906,0,0,2006
1,23,105d23,Ha Noi,Red River Delta,1,1,0,2.1517622470855713,5.168102741241455,0,0,2006
1,23,105d23,Ha Noi,Red River Delta,1,0,0,3.103240489959717,4.1544671058654785,0,0,2006
1,23,105d23,Ha Noi,Red River Delta,1,0,0,2.0668628215789795,5.5597076416015625,0,0,2006
1,23,105d23,Ha Noi,Red River Delta,1,0,0,1.9050880670547485,5.541496753692627,0,0,2006
1,25,105d25,Ha Noi,Red River Delta,1,0,0,2.010895013809204,5.395815849304199,0,0,2006
